Epoch 54, Generator Loss: 0.9033180475234985, Discriminator Loss: 2.156655788421631, Final Classification Accuracy: 95.96%
Epoch 55, Generator Loss: 0.8576870560646057, Discriminator Loss: 2.245713949203491, Final Classification Accuracy: 95.96%
Epoch 56, Generator Loss: 0.8893558979034424, Discriminator Loss: 2.0922341346740723, Final Classification Accuracy: 95.96%
Epoch 57, Generator Loss: 0.8390096426010132, Discriminator Loss: 2.3101727962493896, Final Classification Accuracy: 95.96%
Epoch 58, Generator Loss: 0.8342058658599854, Discriminator Loss: 2.367988109588623, Final Classification Accuracy: 95.96%
Epoch 59, Generator Loss: 0.8578646183013916, Discriminator Loss: 2.0637831687927246, Final Classification Accuracy: 95.96%
Epoch 60, Generator Loss: 0.8916869759559631, Discriminator Loss: 2.162778377532959, Final Classification Accuracy: 95.96%
Epoch 61, Generator Loss: 0.953891396522522, Discriminator Loss: 2.1906020641326904, Final Classification Accuracy: 95.96%
Epoch 62, Generator Loss: 0.9291538000106812, Discriminator Loss: 2.166203022003174, Final Classification Accuracy: 95.96%
Epoch 63, Generator Loss: 0.996436595916748, Discriminator Loss: 1.922959327697754, Final Classification Accuracy: 95.96%
Epoch 64, Generator Loss: 1.02761709690094, Discriminator Loss: 2.1483042240142822, Final Classification Accuracy: 95.96%
Epoch 65, Generator Loss: 1.07094407081604, Discriminator Loss: 2.188805341720581, Final Classification Accuracy: 95.96%
Epoch 66, Generator Loss: 1.1592795848846436, Discriminator Loss: 2.0211095809936523, Final Classification Accuracy: 95.96%
Epoch 67, Generator Loss: 1.1884124279022217, Discriminator Loss: 2.0865774154663086, Final Classification Accuracy: 95.96%
Epoch 68, Generator Loss: 1.175856113433838, Discriminator Loss: 2.07193922996521, Final Classification Accuracy: 95.96%
Epoch 69, Generator Loss: 1.2598122358322144, Discriminator Loss: 2.5128796100616455, Final Classification Accuracy: 95.96%
Epoch 70, Generator Loss: 1.3798822164535522, Discriminator Loss: 2.1908833980560303, Final Classification Accuracy: 95.96%
Epoch 71, Generator Loss: 1.3079187870025635, Discriminator Loss: 2.1924214363098145, Final Classification Accuracy: 95.96%
Epoch 72, Generator Loss: 1.3822245597839355, Discriminator Loss: 2.2828612327575684, Final Classification Accuracy: 95.96%
Epoch 73, Generator Loss: 1.307693362236023, Discriminator Loss: 1.9578547477722168, Final Classification Accuracy: 95.96%
Epoch 74, Generator Loss: 1.2894408702850342, Discriminator Loss: 1.9934990406036377, Final Classification Accuracy: 95.96%
Epoch 75, Generator Loss: 1.2934727668762207, Discriminator Loss: 2.478079319000244, Final Classification Accuracy: 95.96%
Epoch 76, Generator Loss: 1.292219877243042, Discriminator Loss: 2.205772876739502, Final Classification Accuracy: 95.96%
Epoch 77, Generator Loss: 1.242893934249878, Discriminator Loss: 2.11277437210083, Final Classification Accuracy: 95.96%
Epoch 78, Generator Loss: 1.315859079360962, Discriminator Loss: 1.8400390148162842, Final Classification Accuracy: 95.96%
Epoch 79, Generator Loss: 1.2328975200653076, Discriminator Loss: 1.6991547346115112, Final Classification Accuracy: 95.96%
Epoch 80, Generator Loss: 1.2359265089035034, Discriminator Loss: 1.8505287170410156, Final Classification Accuracy: 95.96%
Epoch 81, Generator Loss: 1.3494975566864014, Discriminator Loss: 1.978116512298584, Final Classification Accuracy: 95.96%
Epoch 82, Generator Loss: 1.3928805589675903, Discriminator Loss: 2.172494888305664, Final Classification Accuracy: 95.96%
Epoch 83, Generator Loss: 1.4373893737792969, Discriminator Loss: 2.1142892837524414, Final Classification Accuracy: 95.96%
Epoch 84, Generator Loss: 1.5001764297485352, Discriminator Loss: 1.9403414726257324, Final Classification Accuracy: 95.96%
Epoch 85, Generator Loss: 1.9424554109573364, Discriminator Loss: 1.7207748889923096, Final Classification Accuracy: 95.96%
Epoch 86, Generator Loss: 1.639207124710083, Discriminator Loss: 2.4645652770996094, Final Classification Accuracy: 95.96%
Epoch 87, Generator Loss: 1.905265212059021, Discriminator Loss: 2.189229726791382, Final Classification Accuracy: 95.96%
Epoch 88, Generator Loss: 1.995505928993225, Discriminator Loss: 1.8653078079223633, Final Classification Accuracy: 95.96%
Epoch 89, Generator Loss: 2.046247959136963, Discriminator Loss: 1.6524735689163208, Final Classification Accuracy: 95.96%
Epoch 90, Generator Loss: 2.0467660427093506, Discriminator Loss: 2.3986923694610596, Final Classification Accuracy: 95.96%
Epoch 91, Generator Loss: 2.463196277618408, Discriminator Loss: 1.852299451828003, Final Classification Accuracy: 95.96%
Epoch 92, Generator Loss: 1.6962697505950928, Discriminator Loss: 1.8051871061325073, Final Classification Accuracy: 95.96%
Epoch 93, Generator Loss: 1.5707836151123047, Discriminator Loss: 1.9505645036697388, Final Classification Accuracy: 95.96%
Epoch 94, Generator Loss: 1.5343016386032104, Discriminator Loss: 1.6788538694381714, Final Classification Accuracy: 95.96%
Epoch 95, Generator Loss: 1.4783905744552612, Discriminator Loss: 1.5449151992797852, Final Classification Accuracy: 95.96%
Epoch 96, Generator Loss: 1.3834550380706787, Discriminator Loss: 1.835590124130249, Final Classification Accuracy: 95.96%
Epoch 97, Generator Loss: 1.3306543827056885, Discriminator Loss: 2.4835095405578613, Final Classification Accuracy: 95.96%
Epoch 98, Generator Loss: 1.2270539999008179, Discriminator Loss: 1.8900513648986816, Final Classification Accuracy: 95.96%
Epoch 99, Generator Loss: 1.1655471324920654, Discriminator Loss: 1.7424952983856201, Final Classification Accuracy: 95.96%
Epoch 100, Generator Loss: 1.187538981437683, Discriminator Loss: 1.967735767364502, Final Classification Accuracy: 95.96%
