Epoch 56, Generator Loss: 1.0523402690887451, Discriminator Loss: 2.447610855102539, Classification Accuracy: 95.98%
Epoch 57, Generator Loss: 1.0053563117980957, Discriminator Loss: 2.495701551437378, Classification Accuracy: 95.98%
Epoch 58, Generator Loss: 0.9780343770980835, Discriminator Loss: 2.4552018642425537, Classification Accuracy: 95.98%
Epoch 59, Generator Loss: 0.9654239416122437, Discriminator Loss: 2.5846261978149414, Classification Accuracy: 95.98%
Epoch 60, Generator Loss: 0.9849966764450073, Discriminator Loss: 2.505457639694214, Classification Accuracy: 95.98%
Epoch 61, Generator Loss: 0.919323742389679, Discriminator Loss: 2.595339298248291, Classification Accuracy: 95.98%
Epoch 62, Generator Loss: 0.9218916893005371, Discriminator Loss: 2.497896909713745, Classification Accuracy: 95.98%
Epoch 63, Generator Loss: 0.952386736869812, Discriminator Loss: 2.544898748397827, Classification Accuracy: 95.98%
Epoch 64, Generator Loss: 0.920832633972168, Discriminator Loss: 2.520536184310913, Classification Accuracy: 95.98%
Epoch 65, Generator Loss: 0.93215012550354, Discriminator Loss: 2.65444016456604, Classification Accuracy: 95.98%
Epoch 66, Generator Loss: 0.9432148933410645, Discriminator Loss: 2.774178981781006, Classification Accuracy: 95.98%
Epoch 67, Generator Loss: 0.9518377184867859, Discriminator Loss: 2.479462146759033, Classification Accuracy: 95.98%
Epoch 68, Generator Loss: 0.9338631629943848, Discriminator Loss: 2.7245118618011475, Classification Accuracy: 95.98%
Epoch 69, Generator Loss: 0.9585673809051514, Discriminator Loss: 2.472578525543213, Classification Accuracy: 95.98%
Epoch 70, Generator Loss: 0.9634689092636108, Discriminator Loss: 2.725559949874878, Classification Accuracy: 95.98%
Epoch 71, Generator Loss: 0.9465763568878174, Discriminator Loss: 2.4855031967163086, Classification Accuracy: 95.98%
Epoch 72, Generator Loss: 0.9864389896392822, Discriminator Loss: 2.593834638595581, Classification Accuracy: 95.98%
Epoch 73, Generator Loss: 1.0278795957565308, Discriminator Loss: 2.582831859588623, Classification Accuracy: 95.98%
Epoch 74, Generator Loss: 1.0727300643920898, Discriminator Loss: 2.5928282737731934, Classification Accuracy: 95.98%
Epoch 75, Generator Loss: 1.1112117767333984, Discriminator Loss: 2.337921142578125, Classification Accuracy: 95.98%
Epoch 76, Generator Loss: 1.0954532623291016, Discriminator Loss: 2.4010846614837646, Classification Accuracy: 95.98%
Epoch 77, Generator Loss: 1.1444807052612305, Discriminator Loss: 2.5086748600006104, Classification Accuracy: 95.98%
Epoch 78, Generator Loss: 1.1898285150527954, Discriminator Loss: 2.468620777130127, Classification Accuracy: 95.98%
Epoch 79, Generator Loss: 1.1648571491241455, Discriminator Loss: 2.2483742237091064, Classification Accuracy: 95.98%
Epoch 80, Generator Loss: 1.2270984649658203, Discriminator Loss: 2.2558860778808594, Classification Accuracy: 95.98%
Epoch 81, Generator Loss: 1.3231704235076904, Discriminator Loss: 2.566925525665283, Classification Accuracy: 95.98%
Epoch 82, Generator Loss: 1.2681939601898193, Discriminator Loss: 2.2491626739501953, Classification Accuracy: 95.98%
Epoch 83, Generator Loss: 1.2753373384475708, Discriminator Loss: 2.488135814666748, Classification Accuracy: 95.98%
Epoch 84, Generator Loss: 1.307687759399414, Discriminator Loss: 2.3791942596435547, Classification Accuracy: 95.98%
Epoch 85, Generator Loss: 1.3137832880020142, Discriminator Loss: 2.329604148864746, Classification Accuracy: 95.98%
Epoch 86, Generator Loss: 1.2758058309555054, Discriminator Loss: 2.3221216201782227, Classification Accuracy: 95.98%
