Epoch 54, Generator Loss: 0.7405701875686646, Discriminator Loss: 2.2847366333007812, Final Classification Accuracy: 95.08%
Epoch 55, Generator Loss: 0.8056214451789856, Discriminator Loss: 2.5314877033233643, Final Classification Accuracy: 95.08%
Epoch 56, Generator Loss: 0.8190474510192871, Discriminator Loss: 2.529634952545166, Final Classification Accuracy: 95.08%
Epoch 57, Generator Loss: 0.8836274147033691, Discriminator Loss: 2.5674219131469727, Final Classification Accuracy: 95.08%
Epoch 58, Generator Loss: 0.9635688066482544, Discriminator Loss: 2.264097213745117, Final Classification Accuracy: 95.08%
Epoch 59, Generator Loss: 1.0034962892532349, Discriminator Loss: 2.1823205947875977, Final Classification Accuracy: 95.08%
Epoch 60, Generator Loss: 1.051372766494751, Discriminator Loss: 2.4170894622802734, Final Classification Accuracy: 95.08%
Epoch 61, Generator Loss: 1.0265886783599854, Discriminator Loss: 2.3261513710021973, Final Classification Accuracy: 95.08%
Epoch 62, Generator Loss: 1.0492010116577148, Discriminator Loss: 2.7588319778442383, Final Classification Accuracy: 95.08%
Epoch 63, Generator Loss: 1.0863232612609863, Discriminator Loss: 2.248422145843506, Final Classification Accuracy: 95.08%
Epoch 64, Generator Loss: 1.0056519508361816, Discriminator Loss: 2.4858078956604004, Final Classification Accuracy: 95.08%
Epoch 65, Generator Loss: 0.9723966121673584, Discriminator Loss: 2.6383323669433594, Final Classification Accuracy: 95.08%
Epoch 66, Generator Loss: 0.9162747859954834, Discriminator Loss: 2.5132081508636475, Final Classification Accuracy: 95.08%
Epoch 67, Generator Loss: 0.8483775854110718, Discriminator Loss: 2.487461566925049, Final Classification Accuracy: 95.08%
Epoch 68, Generator Loss: 0.8023788928985596, Discriminator Loss: 2.372795820236206, Final Classification Accuracy: 95.08%
Epoch 69, Generator Loss: 0.8002742528915405, Discriminator Loss: 2.698275566101074, Final Classification Accuracy: 95.08%
Epoch 70, Generator Loss: 0.8201569318771362, Discriminator Loss: 2.5568323135375977, Final Classification Accuracy: 95.08%
Epoch 71, Generator Loss: 0.8288033604621887, Discriminator Loss: 2.416433334350586, Final Classification Accuracy: 95.08%
Epoch 72, Generator Loss: 0.8645681738853455, Discriminator Loss: 2.3236045837402344, Final Classification Accuracy: 95.08%
Epoch 73, Generator Loss: 0.9087072610855103, Discriminator Loss: 2.533641815185547, Final Classification Accuracy: 95.08%
Epoch 74, Generator Loss: 0.9218969345092773, Discriminator Loss: 2.486081838607788, Final Classification Accuracy: 95.08%
Epoch 75, Generator Loss: 1.0310149192810059, Discriminator Loss: 2.1949546337127686, Final Classification Accuracy: 95.08%
